year,sex,country,state,time,activity,type,deadly_attack
2024,Male,BAHRAIN,Unknown,Night,Fishing,Provoked,N
2024,Male,BAHAMAS,Paradise  Island,Evening,Swimming,Unprovoked,N
2024,Male,AUSTRALIA,South Australia,Afternoon,Surf,Unprovoked,N
2024,Male,SOUTH AFRICA,Eastern Cape Province,Night,Fishing,Provoked,N
2023,Male,USA,Hawaii,Morning,Surf,Unprovoked,Y
2023,Male,MEXICO,Sonora,Afternoon,Diving,Unprovoked,Y
2023,Male,AUSTRALIA,South Australia,Afternoon,Surf,Unprovoked,Y
2023,Male,AUSTRALIA,New South Wales,Evening,Surf,Unprovoked,N
2023,Male,AUSTRALIA,Western Australia,Afternoon,Foil Boarding,Unprovoked,N
2023,Female,NEW ZEALAND,South Island,Night,Wading,Unprovoked,N
2023,Male,MEXICO,Guerrero,Morning,Swimming,Unknown,Y
2023,Female,MEXICO,Guerrero,Morning,Swimming,Unknown,N
2023,Male,AUSTRALIA,Queensland,Evening,Snorkeling,Unprovoked,N
2023,Female,BAHAMAS,New Providence   Isoad,Morning,Paddle boarding,Unprovoked,Y
2023,Female,MEXICO,Jalisco,Morning,Swimming,Unprovoked,Y
2023,Male,AUSTRALIA,Queensland,Morning,Swimming,Unprovoked,N
2023,Female,BAHAMAS,Grand  Bahama Island,Morning,Diving,Unprovoked,Y
2023,Female,AUSTRALIA,South Australia,Afternoon,Diving,Unprovoked,N
2023,Male,USA,Florida,Morning,Swimming,Unprovoked,N
2023,Male,AUSTRALIA,Westerm Australia,Afternoon,Fishing,Unprovoked,N
2023,Male,NEW ZEALAND,North Island,Morning,Diving,Unprovoked,N
2023,Male,EGYPT,Southern Red Sea,Night,Diving,Unknown,N
2023,Male,AUSTRALIA,South Australia,Morning,Surf,Unprovoked,Y
2023,Male,USA,Hawaii,Afternoon,Surf,Unprovoked,N
2023,Male,MEXICO,Quintana Roo,Night,Fishing,Provoked,N
2023,Male,AUSTRALIA,Western Australia,Evening,Fishing,Sea Disaster,N
2023,Female,BELIZE,Belize District,Night,Snorkeling,Unprovoked,N
2023,Male,USA,Hawaii,Evening,Surf,Unprovoked,N
2023,Male,USA,California,Afternoon,Surf,Unprovoked,N
2023,Female,USA,Hawaii,Afternoon,Surf,Unprovoked,N
2023,Female,AUSTRALIA,South Australia,Morning,Swimming,Unprovoked,N
2023,Male,USA,California,Morning,Swimming,Unprovoked,Y
2023,Male,USA,South Carolina,Evening,Swimming,Unprovoked,N
2023,Female,EGYPT,South Sinai,Night,Swimming,Unprovoked,N
2023,Male,USA,Florida,Morning,Surf,Unknown,N
2023,Male,USA,Florida,Night,Surf,Unprovoked,N
2023,Male,PHILIPPINES,Bolinao,Night,Fishing,Unprovoked,U
2023,Male,CORAL SEA,Unknown,Night,On a round-the-world expedition,Sea Disaster,N
2023,Male,USA,Florida,Night,Surf,Unprovoked,N
2023,Female,USA,Florida,Night,Wading,Unprovoked,N
